time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,9,12,11,6.428571428571429,4.857142857142857
01h,3,5,1,1.8571428571428572,1.9285714285714286
02h,1,0,0,0.2857142857142857,0.8214285714285714
03h,1,0,0,0.42857142857142855,0.4642857142857143
04h,0,0,1,0.42857142857142855,0.21428571428571427
05h,1,1,2,1.2857142857142858,0.75
06h,1,1,5,2.857142857142857,2.2857142857142856
07h,2,3,9,5.571428571428571,5.214285714285714
08h,0,1,18,8.714285714285714,10.428571428571429
09h,2,9,30,20.0,19.071428571428573
10h,55,51,45,29.428571428571427,28.357142857142858
11h,36,44,38,33.714285714285715,28.5
12h,51,39,39,27.571428571428573,25.428571428571427
13h,36,41,43,25.857142857142858,24.214285714285715
14h,32,35,36,26.142857142857142,25.214285714285715
15h,51,35,49,28.142857142857142,27.714285714285715
16h,41,36,48,27.714285714285715,25.642857142857142
17h,45,30,29,20.428571428571427,22.285714285714285
18h,32,25,25,21.571428571428573,18.285714285714285
19h,33,39,42,22.142857142857142,18.678571428571427
20h,25,24,34,17.428571428571427,18.928571428571427
21h,30,35,34,18.714285714285715,17.571428571428573
22h,28,29,23,15.428571428571429,15.642857142857142
23h,11,28,10,9.571428571428571,8.75
